T,wavelet-LHL_glcm_Imc1,wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,squareroot_glszm_SmallAreaLowGrayLevelEmphasis,logarithm_firstorder_RootMeanSquared,squareroot_firstorder_RootMeanSquared,exponential_glrlm_RunLengthNonUniformity,wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,wavelet-HLH_glcm_MCC,log-sigma-2-0-mm-3D_firstorder_Median,wavelet-HHL_glcm_InverseVariance,squareroot_firstorder_Skewness,exponential_glszm_LowGrayLevelZoneEmphasis,log-sigma-1-0-mm-3D_firstorder_Skewness,exponential_glcm_Imc2,exponential_glszm_SmallAreaEmphasis,logarithm_firstorder_Uniformity
29,-0.0898815580272869,80.14804285263138,0.0006754554735494,875.7090900600592,709.8486922321757,3099.380744120285,628.8485941220765,0.6197674018511388,-7.306097745895388,0.4151384341643893,-6.317877150588791,0.3388010005332589,-0.3689753952996136,0.5559069206546778,0.3190832963406883,0.441548868181428
30,-0.0915962934069989,87.94012372038229,0.0005593099362897,1034.9261624356748,785.8128436143453,2392.3824847016062,726.9579248680707,0.6091115494217375,-5.02416729927063,0.4058243186817985,-6.714073762950963,0.501984126984127,-0.4409150915680633,0.5198366607141373,0.279345980651762,0.4195326258819263
31,-0.088270199047074,93.66935582070434,0.0006157775343629,857.4165838534099,708.1200619514357,3351.700246673108,745.7841208130899,0.6402057505078151,-4.170499324798584,0.4111719437104764,-7.127923911429359,0.2396131652675017,-0.7001078795018147,0.5912659634781582,0.3598398901879046,0.5487817117532604
32,-0.0910722608150101,103.6864643190694,0.0006145885156136,851.3349091443013,710.4269394797818,3494.954081563316,851.445338910779,0.6681739591432668,-3.5332962274551387,0.4039739070651981,-7.544269601543203,0.1794347245236356,-0.9334465086791214,0.6199544739718513,0.3755925601948766,0.4839536650958448
33,-0.090990286877764,103.28184809968708,0.0003394179832443,1496.101229552921,991.1488128727212,1208.284471411565,872.3920950381981,0.6544533658952201,-3.0957990884780884,0.4072855269715512,-8.247183943333019,0.625,-1.1108655885906369,6.673478729716315e-05,0.5000000065801518,0.3533622993586455
34,-0.0897628522891263,129.57749680614126,0.0004734946213319,997.8411426591192,787.5657400541803,2291.807269646397,968.5523410535012,0.6762082988981047,-3.2402526140213013,0.4095992772754896,-8.540448405964254,0.4259645669291338,-1.38308261022969,0.4248160777865539,0.308977744859678,0.4409309757794915
35,-0.0933281744138809,125.08168024236788,0.000529983757892,867.8581460122988,728.1719484035652,3486.921361595347,994.0040086490594,0.6659273626923461,-3.11310350894928,0.4120664794482298,-9.092558415290032,0.1553060529151141,-1.5774972294680336,0.5736957233608064,0.3464037082752417,0.5028907606968329
36,-0.0916039251543026,143.32140719268946,0.0004915731390056,866.1445853784869,730.3582574439502,3517.52173088792,1157.3311681214047,0.6784419994442137,-3.152033567428589,0.4060016261292088,-9.573916902683992,0.1497029077415628,-1.7898217222477368,0.5903685958613953,0.3286424272683569,0.5901403729648115
37,-0.0945141634799206,134.70970817036823,0.0004709611212407,924.0984501039908,761.15297521994,2987.045754261388,1045.163206174214,0.6898405764477216,-3.5829025506973267,0.4086790178215845,-9.903842346989617,0.2400814018685799,-1.939464880419412,0.5233228713195668,0.30617925731062,0.4727734466628152
38,-0.0878942255213249,130.84599110001508,0.0004526541074507,928.8749078220908,765.1860398711368,2966.894187295993,1030.7442822170983,0.6832236143942266,-4.759409189224243,0.4106918122794146,-10.301192607802117,0.2069270519655674,-2.040669024332288,0.5133008460742239,0.3039065019607374,0.5839381079224696
39,-0.0930743939346159,146.81454955980902,0.0004111309953122,916.8387055088313,760.520412615026,3137.133221669735,1180.860398627153,0.6677278774718289,-4.913450717926025,0.4084655687836678,-10.384185720779827,0.18586155877695,-2.1166881715592005,0.5026725461607786,0.3106380253597126,0.5765173204337211
40,-0.0895862074283095,131.8371563885088,0.0004059373566491,921.2893553153286,763.7491171354715,3128.1685727581835,1007.6907548782964,0.6963882136360253,-5.353678941726685,0.4020759332141507,-10.577498566514134,0.1790482858480978,-2.068768869058204,0.4838757924867845,0.2999289142810998,0.4733612615120321
41,-0.0913205512829284,134.44626854624846,0.0003348724051094,1224.6862552421226,901.9860788514668,1957.9279357207129,1057.067740168001,0.6938197566648713,-5.640957355499268,0.4043202651176285,-10.864892626749787,0.3236961451247165,-2.2197057893583314,0.3424542021921718,0.318028926949333,0.4626728886939506
42,-0.0939709200065877,132.93649607933096,0.0005039391125614,866.2904778171754,737.4320929849515,3627.62916378046,1072.969718104302,0.6994185009353201,-5.630027532577515,0.4133820429481277,-11.020966326718652,0.1153427651236873,-2.2710026840206856,0.4972047583295754,0.3424137543492938,0.6547574030909409
43,-0.0874045617032948,126.87698574095822,0.0004345834371687,893.9017993713044,750.7953699531014,3392.57599030086,1069.5694676393937,0.6959544525641208,-5.702230930328369,0.4107864962752921,-11.059873672580023,0.1501408760312307,-2.268886385572495,0.4974624132507621,0.2989871448577236,0.5436313716190317
44,-0.0893269049360963,149.42538680565158,0.0004413508190637,887.6914109688232,748.0270889537836,3410.776885997497,1186.9307021287916,0.6929115044332019,-5.78695559501648,0.4082572480772061,-10.91098498874976,0.1381782324269269,-2.197529054429236,0.5142891395452032,0.3246665599293859,0.7259603909945018
45,-0.089171058622056,155.65223927746166,0.0004575220524867,929.6966161332437,768.8991905603244,3063.8583200597504,1216.9415121310617,0.7067887088097494,-5.070718288421631,0.4128543068724908,-10.981950919099717,0.197296546625523,-2.208799633395816,0.4563273840363187,0.3220617551604377,0.6200704851527674
46,-0.0904252595278433,139.27670810977938,0.0004455559210172,920.9385358468884,764.4157887236577,2966.579936141679,1079.0306347133926,0.6871906398878598,-5.213495969772339,0.4126701916939372,-11.149980698771584,0.177060088743986,-2.3735097856238268,0.4697515103134592,0.3360092306387021,0.4895831409080453
47,-0.0869493628852595,136.84636114197713,0.0004000904336862,995.5302154356048,800.3419531133446,2416.135761973001,1068.119604907494,0.6903830285142529,-4.623901844024658,0.4088403710966178,-11.05920368388071,0.3276429738562092,-2.2466742073719184,0.3809205167341413,0.2690968004995082,0.4799970327691648
48,-0.0892467032161589,136.19427296587315,0.0004323339715155,938.6662595589446,773.8670399091008,2928.035160062088,1067.532897014359,0.7047902507177606,-5.341410398483276,0.4086468590811894,-11.221503091401978,0.2114802635890579,-2.180668739146975,0.4445016768596532,0.2635490181892268,0.7052629296504724
49,-0.0928472935465743,136.005530141217,0.0003880660619631,987.455494883631,797.5892398656327,2629.4306147964967,1107.6066676489386,0.7328769901287812,-5.033585071563722,0.4114205338083981,-11.158529935600797,0.3065297150035074,-2.368189361497088,0.435745871869056,0.3131915911057821,0.6978221957181879
50,-0.0928472935465743,136.005530141217,0.0003880660619631,987.455494883631,797.5892398656327,2629.4306147964967,1107.6066676489386,0.7328769901287812,-5.033585071563722,0.4114205338083981,-11.158529935600797,0.3065297150035074,-2.368189361497088,0.435745871869056,0.3131915911057821,0.6978221957181879
